Title;Artist;Genre;Year;Bpm;Energy;Danceability;Db;Liveness;Valence;Duration;Acousticness;Speechiness;Popularity
Lose You To Love Me;Selena Gomez;Pop;2020;103;34;49;-9;21;10;206;56;4;83
Love You Like A Love Song;Selena Gomez & The Scene;Pop;2011;117;68;86;-4;7;92;188;8;5;83
Mask Off;Future;Hip hop/Rap/R&b;2017;150;43;83;-9;17;28;205;1;43;83
MIDDLE CHILD;J. Cole;Hip hop/Rap/R&b;2019;124;36;84;-12;27;46;214;15;28;83
Mood (feat. iann dior);24kGoldn;Hip hop/Rap/R&b;2021;91;72;70;-4;32;73;141;17;4;83
Moth To A Flame (with The Weeknd);Swedish House Mafia;EDM;2021;120;66;55;-7;11;11;234;0;4;83
Ms. Jackson;Outkast;Hip hop/Rap/R&b;2000;95;81;84;-6;8;61;271;14;27;83
My Universe;Coldplay;Other;2021;105;70;59;-6;20;44;228;1;4;83
My Universe;Coldplay;Other;2021;105;71;57;-6;33;47;226;1;4;83
No Lie;Sean Paul;Pop;2018;102;88;74;-3;21;46;221;5;12;83
Party In The U.S.A.;Miley Cyrus;Pop;2009;96;70;65;-5;9;47;202;0;4;83
Rolling in the Deep;Adele;Other;2011;105;77;73;-5;5;51;228;14;3;83
SAD!;XXXTENTACION;Hip hop/Rap/R&b;2018;75;61;74;-5;12;47;167;26;14;83
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;Hip hop/Rap/R&b;2021;118;83;65;-5;9;59;191;2;3;83
Sex on Fire;Kings of Leon;Rock/Metal;2008;153;91;54;-6;14;37;203;0;5;83
Smack That;Akon;Pop;2006;119;74;94;-5;11;92;212;32;5;83
Someone Like You;Adele;Other;2011;135;32;56;-8;10;29;285;89;3;83
Sorry;Justin Bieber;Pop;2015;100;76;65;-4;30;41;201;8;5;83
Stereo Hearts (feat. Adam Levine);Gym Class Heroes;Pop;2011;90;80;65;-3;27;80;211;3;10;83
Streets;Doja Cat;Pop;2019;90;46;75;-8;34;19;227;21;8;83
Stronger;Kanye West;Hip hop/Rap/R&b;2007;104;72;62;-8;41;49;312;1;15;83
Sugar;Maroon 5;Pop;2014;120;79;75;-7;9;88;235;6;3;83
thank u, next;Ariana Grande;Pop;2019;107;65;72;-6;10;41;207;23;7;83
The Box;Roddy Ricch;Hip hop/Rap/R&b;2019;117;59;90;-7;79;64;197;10;6;83
The Middle;Jimmy Eat World;Rock/Metal;2001;162;85;64;-5;6;90;166;4;5;83
The Reason;Hoobastank;Rock/Metal;2003;83;67;47;-5;16;7;233;1;3;83
The Way I Are;Timbaland;Pop;2007;115;81;73;-6;32;77;179;18;10;83
